fcode,fname,incdate
003192.OF,创金合信尊丰纯债,2016-09-02
003193.OF,创金合信尊智纯债,2017-06-16
003195.OF,光大永利纯债A,2017-02-17
003199.OF,长盛盛琪一年期A,2016-09-27
003207.OF,博时富发纯债,2016-09-07
003209.OF,鹏华丰达,2016-08-30
003210.OF,博时智臻纯债,2016-08-30
003213.OF,中银悦享定期开放,2016-09-28
003214.OF,易方达富惠,2016-08-24
003220.OF,浙商惠利纯债,2016-09-27
003223.OF,广发景丰纯债,2016-11-23
003226.OF,信诚稳健A,2016-09-02
003239.OF,博时安祺6个月定开A,2016-09-29
003258.OF,博时富祥纯债A,2016-11-10
003259.OF,博时聚利纯债,2016-09-18
003260.OF,博时利发纯债,2016-09-07
003265.OF,招商招坤纯债A,2016-10-18
003268.OF,博时悦楚纯债,2016-09-09
003269.OF,招商招乾3个月A,2016-10-26
003273.OF,安信永丰A,2016-10-10
003277.OF,信诚稳瑞A,2016-09-09
003280.OF,鹏华丰恒,2016-09-22
003285.OF,国寿安保安康纯债,2016-09-02
003286.OF,平安惠享纯债A,2016-10-27
003287.OF,中信保诚稳益A,2016-09-09
003289.OF,创金合信尊泰纯债,2016-10-21
003290.OF,长城久稳,2016-11-11
003309.OF,兴业启元一年A,2016-10-27
003313.OF,中银睿享定期开放,2016-09-22
003314.OF,浙商惠南纯债,2016-11-17
003315.OF,景顺长城政策性金融债,2017-01-25
003324.OF,东方永兴18个月A,2016-11-02
003327.OF,万家鑫璟纯债A,2016-09-18
003329.OF,万家鑫安纯债A,2016-09-18
003337.OF,南方颐元A,2016-09-26
003342.OF,工银瑞信国债纯债A,2016-12-16
003349.OF,长信稳益,2016-10-26
003382.OF,民生加银鑫享A,2016-10-31
003384.OF,金鹰添盈纯债,2017-01-11
003390.OF,江信一年定开,2017-04-17
003394.OF,建信恒安一年定开,2016-11-08
003395.OF,安信尊享,2016-09-29
003400.OF,建信恒瑞一年定开,2016-11-16
003406.OF,南方多元定开,2016-09-29
003407.OF,景顺长城景泰丰利A,2017-01-13
003417.OF,中加丰泽,2016-12-16
003418.OF,华润元大润鑫A,2016-10-17
003419.OF,中欧弘安一年定开,2017-04-07
003424.OF,江信洪福纯债,2016-12-07
003425.OF,江信添福A,2016-11-02
003427.OF,建信恒远一年定开,2016-11-17
003428.OF,中加丰盈,2016-11-02
003438.OF,招商招怡纯债A,2016-11-08
003440.OF,招商招享纯债A,2017-03-17
003442.OF,招商招惠三个月定开A,2016-12-07
003445.OF,中加丰享纯债,2016-11-11
003448.OF,招商招华纯债A,2016-12-21
003450.OF,招商招信3个月A,2017-03-10
003452.OF,招商招盛纯债A,2016-10-26
003454.OF,招商招通纯债A,2016-10-20
003457.OF,国泰润泰纯债,2017-03-01
003461.OF,嘉实稳元纯债,2017-03-09
003486.OF,平安惠隆纯债A,2016-11-23
003487.OF,平安惠融纯债,2016-11-01
003497.OF,银华添泽,2016-11-11
003498.OF,前海联合添和A,2016-12-07
003500.OF,鑫元聚利,2016-10-27
003514.OF,国寿安保安享纯债,2016-10-19
003517.OF,国泰润利纯债,2017-02-27
003518.OF,万家鑫瑞A,2017-06-07
003526.OF,农银汇理金穗3个月,2016-11-07
003527.OF,鹏华丰腾,2016-10-27
003528.OF,汇添富长添利A,2016-12-06
003532.OF,汇添富鑫利定期开放A,2017-03-13
003547.OF,鹏华丰禄,2016-10-27
003549.OF,浙商惠裕纯债,2016-11-07
003564.OF,博时安诚3个月A,2016-11-10
003566.OF,博时臻选纯债,2016-11-07
003568.OF,平安惠利纯债,2016-11-18
003569.OF,招商招丰纯债A,2016-12-07
003571.OF,招商招琪纯债A,2016-12-07
003573.OF,中信建投稳裕定开A,2016-11-07
003574.OF,大成惠利纯债,2016-11-02
003575.OF,大成惠益纯债,2016-11-02
003583.OF,建信稳定鑫利A,2017-01-06
003590.OF,建信睿富纯债,2016-11-25
003605.OF,景顺长城景泰汇利A,2016-11-11
003607.OF,博时富益纯债,2016-11-04
003614.OF,信诚景瑞A,2016-12-07
003618.OF,招商招旺纯债A,2016-11-02
003640.OF,兴业裕丰,2017-01-03
003648.OF,融通通祺,2016-11-10
003651.OF,博时丰达纯债6个月,2016-11-08
003656.OF,民生加银鑫元纯债A,2017-06-21
003660.OF,中加纯债两年A,2016-11-11
003662.OF,鹏华永盛一年定开,2016-12-29
003664.OF,新沃通利A,2016-12-27
003668.OF,东方红益鑫纯债A,2016-11-28
003671.OF,兴业裕恒,2016-11-04
003672.OF,兴业裕华,2016-12-07
003673.OF,中加丰裕纯债,2016-11-28
003674.OF,融通通玺,2016-12-22
003681.OF,建信睿享纯债,2016-11-08
003682.OF,博时安弘一年定开A,2016-11-15
003691.OF,农银汇理金泰一年定期,2016-12-27
003696.OF,国泰润鑫定期开放,2017-07-04
003703.OF,博时富鑫纯债,2016-11-17
003708.OF,博时民丰纯债A,2016-11-30
003728.OF,融通通宸,2016-12-21
003730.OF,博时富华纯债,2016-11-25
003733.OF,金鹰添裕纯债,2016-11-23
003741.OF,鹏华丰盈,2016-11-22
003742.OF,汇安嘉汇A,2016-12-02
003746.OF,广发汇瑞3个月,2016-11-28
003747.OF,万家鑫享纯债A,2017-02-09
003767.OF,泰达宏利纯利A,2016-11-25
003770.OF,中银丰庆,2017-03-20
003776.OF,南方宣利定期开放A,2016-12-06
003787.OF,方正富邦惠利纯债A,2016-12-19
003793.OF,泰达宏利溢利A,2017-01-22
003795.OF,方正富邦睿利纯债A,2016-12-16
003809.OF,招商招顺纯债A,2016-12-07
003811.OF,中金金利A,2016-12-13
003819.OF,广发景华纯债,2016-11-28
003824.OF,天弘信利A,2016-12-16
003832.OF,中银丰润定期开放,2016-12-01
003837.OF,东方臻享纯债A,2016-11-28
003841.OF,大成惠裕,2017-05-15
003847.OF,华安鼎丰,2016-11-30
003852.OF,金鹰添享纯债,2017-02-28
003859.OF,招商招旭纯债A,2016-12-15
003863.OF,招商招祥纯债A,2016-12-07
003866.OF,博时富诚纯债,2017-03-17
003867.OF,招商招景纯债A,2017-03-08
003869.OF,长信稳势纯债,2017-08-18
003888.OF,汇安嘉源纯债,2016-12-22
003891.OF,汇安嘉裕,2016-12-05
003898.OF,永赢丰益,2017-02-16
003922.OF,长盛盛康纯债A,2017-02-13
003926.OF,中融恒信纯债A,2017-08-09
003928.OF,前海联合永兴A,2017-08-14
003929.OF,中银证券安进A,2016-12-05
003949.OF,兴全稳泰A,2016-12-16
003952.OF,兴业嘉瑞6个月定开A,2017-03-20
003963.OF,博时慧选纯债3个月,2016-12-19
003978.OF,中信建投稳祥A,2017-03-03
003983.OF,鹏华丰惠,2016-12-09
003999.OF,富荣富祥纯债,2017-03-09
004001.OF,泰达宏利恒利A,2017-01-22
004020.OF,广发景祥纯债,2017-03-02
004021.OF,广发汇富一年A,2017-02-13
004024.OF,华泰保兴尊诚,2017-02-23
004027.OF,广发景源纯债A,2017-02-17
004030.OF,嘉实丰安6个月定开,2016-12-29
004031.OF,鑫元添利三个月定开债,2017-03-17
004032.OF,工银瑞信丰淳,2017-02-28
004033.OF,金鹰添荣纯债,2017-03-07
004038.OF,中银富享定期开放,2017-03-20
004042.OF,华夏鼎茂A,2017-03-15
004045.OF,金鹰添润定开,2017-02-16
004052.OF,华夏鼎智A,2017-01-20
004059.OF,鑫元招利,2016-12-22
004061.OF,华夏鼎隆A,2017-02-16
004066.OF,嘉实稳熙纯债,2017-03-16
004079.OF,万家鑫丰纯债A,2017-01-18
004087.OF,银华添润,2017-03-07
004089.OF,汇添富鑫瑞A,2016-12-26
004101.OF,国泰民安增益A,2017-08-31
004102.OF,信诚稳悦A,2017-02-10
004104.OF,信诚稳鑫A,2017-03-02
004106.OF,中信保诚稳丰A,2017-01-23
004108.OF,信诚稳泰A,2017-02-16
004117.OF,大成惠祥纯债,2017-02-16
004118.OF,博时裕鹏纯债,2016-12-22
004122.OF,兴银长益三个月定开,2017-03-15
004123.OF,兴银长盈三个月定开,2017-03-15
004124.OF,民生加银鑫升纯债,2017-02-17
004127.OF,鹏华丰康,2017-03-17
004134.OF,农银汇理金安18个月,2017-03-07
004136.OF,博时民泽纯债,2017-01-13
004140.OF,兴业福鑫,2017-03-10
004141.OF,兴业瑞丰6个月,2017-03-23
004168.OF,博时富嘉纯债,2017-01-20
004180.OF,南方宏元定开A,2017-01-18
004196.OF,泓德裕鑫纯债A,2017-05-24
